날짜(월별),처리건수(천건),처리금액(십억원)
Jan-90,678,108
Feb-90,778,118.6
Mar-90,886,139.6
Apr-90,919,142.4
May-90,973,146.8
Jun-90,977,153.8
Jul-90,"1,085.00",169.1
Aug-90,"1,120.00",169.8
Sep-90,"1,108.00",183.1
Oct-90,981,164.3
Nov-90,"1,159.00",189.9
Dec-90,"1,144.00",200.9
Jan-91,"1,091.00",189.3
Feb-91,973,174.5
Mar-91,"1,173.00",206.8
Apr-91,"1,264.00",217.9
May-91,"1,382.00",231.4
Jun-91,"1,198.00",211.9
Jul-91,"1,418.00",244.9
Aug-91,"1,432.00",244.6
Sep-91,"1,380.00",257.6
Oct-91,"1,617.00",286.9
Nov-91,"1,556.00",277.1
Dec-91,"1,578.00",300.1
Jan-92,"1,612.00",304.2
Feb-92,"1,398.00",264.1
Mar-92,"1,673.00",318.6
Apr-92,"1,778.00",327.3
May-92,"1,764.00",317
Jun-92,"1,856.00",343.2
Jul-92,"1,998.00",368.3
Aug-92,"2,071.00",377.6
Sep-92,"2,098.00",413
Oct-92,"2,247.00",417.4
Nov-92,"2,128.00",400.4
Dec-92,"2,406.00",482.7
Jan-93,"2,021.00",417.3
Feb-93,"2,254.00",434
Mar-93,"2,575.00",522.1
Apr-93,"2,561.00",506.1
May-93,"2,689.00",521.7
Jun-93,"2,781.00",555.2
Jul-93,"3,063.00",621.2
Aug-93,"2,707.00",524.5
Sep-93,"2,792.00",571.2
Oct-93,"2,953.00",628.7
Nov-93,"3,288.00",702.7
Dec-93,"3,628.00",834.3
Jan-94,"3,549.00",801.8
Feb-94,"2,999.00",729.6
Mar-94,"3,997.00",974.7
Apr-94,"4,264.00","1,045.20"
May-94,"4,561.00","1,138.10"
Jun-94,"4,734.00","1,234.20"
Jul-94,"5,498.00","1,447.00"
Aug-94,"5,841.00","1,558.10"
Sep-94,"5,610.00","1,619.70"
Oct-94,"6,085.00","1,729.20"
Nov-94,"6,584.00","1,918.60"
Dec-94,"7,265.00","2,174.90"
Jan-95,"6,384.00","1,924.20"
Feb-95,"1,915.30","6,303.00"
Mar-95,"2,325.90","7,590.00"
Apr-95,"7,104.00","2,098.40"
May-95,"7,606.00","2,234.50"
Jun-95,"7,794.00","2,329.60"
Jul-95,"9,050.00","2,751.70"
Aug-95,"9,870.00","2,969.90"
Sep-95,"9,874.00","3,056.50"
Oct-95,"10,968.00","3,324.00"
Nov-95,"11,191.00","3,440.40"
Dec-95,"11,419.00","3,580.40"
Jan-96,"11,569.00","3,606.70"
Feb-96,"11,064.00","3,551.10"
Mar-96,"12,965.00","3,996.10"
Apr-96,"13,011.00","4,060.80"
May-96,"14,845.00","4,525.00"
Jun-96,"14,270.00","4,405.90"
Jul-96,"15,890.00","4,959.70"
Aug-96,"16,030.00","4,899.90"
Sep-96,"15,263.00","4,737.00"
Oct-96,"17,430.00","5,498.90"
Nov-96,"17,552.00","5,531.90"
Dec-96,"18,085.00","5,898.60"
Jan-97,"17,238.00","5,581.00"
Feb-97,"15,608.00","5,297.10"
Mar-97,"18,896.00","6,206.60"
Apr-97,"19,161.00","6,358.10"
May-97,"20,251.00","6,492.70"
Jun-97,"19,754.00","6,427.50"
Jul-97,"21,328.00","7,103.30"
Aug-97,"20,873.00","6,759.60"
Sep-97,"20,610.00","7,087.10"
Oct-97,"22,304.00","7,571.80"
Nov-97,"21,453.00","7,237.60"
Dec-97,"22,041.00","7,731.90"
Jan-98,"18,298.00","6,097.80"
Feb-98,"18,938.00","6,199.50"
Mar-98,"22,410.00","7,072.30"
Apr-98,"22,037.00","6,764.20"
May-98,"22,572.00","6,528.40"
Jun-98,"21,599.00","6,490.20"
Jul-98,"21,562.00","6,456.70"
Aug-98,"21,883.00","6,354.10"
Sep-98,"22,775.00","6,829.30"
Oct-98,"22,031.00","6,705.90"
Nov-98,"22,404.00","6,783.50"
Dec-98,"24,376.00","7,754.80"
Jan-99,"22,886.00","6,962.60"
Feb-99,"21,248.00","6,857.50"
Mar-99,"26,593.00","8,418.50"
Apr-99,"27,540.00","9,005.00"
May-99,"28,326.00","8,957.20"
Jun-99,"27,125.00","8,903.90"
Jul-99,"28,715.00","9,627.40"
Aug-99,"28,605.00","9,499.20"
Sep-99,"27,077.00","9,698.50"
Oct-99,"28,295.00","9,734.20"
Nov-99,"28,539.00","10,545.20"
Dec-99,"29,364.00","11,762.50"
Jan-00,"25,200.00","10,241.80"
Feb-00,"26,688.00","10,970.60"
Mar-00,"31,967.00","12,975.80"
Apr-00,"31,184.00","12,411.90"
May-00,"34,157.00","13,740.20"
Jun-00,"33,358.00","13,586.50"
Jul-00,"33,919.00","13,798.90"
Aug-00,"34,427.00","13,980.60"
Sep-00,"33,740.00","14,304.90"
Oct-00,"36,623.00","15,428.80"
Nov-00,"36,328.00","15,819.80"
Dec-00,"38,054.00","17,223.90"
01-Jan,"33,741.00","16,002.90"
01-Feb,"34,338.00","15,985.80"
01-Mar,"40,660.00","18,783.40"
01-Apr,"39,921.00","17,930.00"
01-May,"41,124.00","17,744.10"
01-Jun,"38,429.00","15,891.10"
01-Jul,"39,316.00","16,033.20"
01-Aug,"40,234.00","16,763.50"
01-Sep,"41,397.00","17,891.60"
01-Oct,"38,570.00","16,444.60"
01-Nov,"41,009.00","17,772.80"
01-Dec,"43,382.00","19,346.50"
02-Jan,"41,794.00","19,292.00"
02-Feb,"38,138.00","18,532.70"
02-Mar,"46,113.00","21,397.20"
02-Apr,"46,300.00","21,981.80"
02-May,"48,648.00","22,811.50"
02-Jun,"44,397.00","20,214.30"
02-Jul,"46,822.00","21,967.30"
02-Aug,"45,393.00","21,480.00"
02-Sep,"43,798.00","21,247.50"
02-Oct,"43,649.00","20,783.90"
02-Nov,"40,678.00","19,334.90"
02-Dec,"41,704.00","19,982.10"
03-Jan,"38,752.00","18,973.30"
03-Feb,"34,284.00","16,872.00"
03-Mar,"40,622.00","18,792.40"
03-Apr,"40,228.00","18,505.10"
03-May,"41,026.00","18,406.90"
03-Jun,"38,432.00","17,840.50"
03-Jul,"39,016.00","17,988.40"
03-Aug,"37,358.00","16,708.50"
03-Sep,"37,032.00","17,413.60"
03-Oct,"39,236.00","18,224.60"
03-Nov,"36,852.00","16,699.30"
03-Dec,"39,414.00","18,622.90"
04-Jan,"34,248.00","15,909.10"
04-Feb,"33,264.00","14,560.40"
04-Mar,"37,589.00","16,528.80"
04-Apr,"36,872.50","16,096.70"
04-May,"37,588.60","15,532.20"
04-Jun,"36,500.70","15,454.40"
04-Jul,"37,221.80","15,598.10"
04-Aug,"36,157.60","15,094.20"
04-Sep,"34,630.30","14,845.50"
04-Oct,"35,636.60","14,904.90"
04-Nov,"35,377.40","15,333.10"
04-Dec,"37,132.30","16,446.80"
05-Jan,"34,065.80","14,906.10"
05-Feb,"30,751.10","14,531.60"
05-Mar,"37,164.80","16,740.70"
05-Apr,"36,433.10","16,070.40"
05-May,"38,519.10","16,939.50"
05-Jun,"37,079.00","16,657.50"
05-Jul,"37,815.60","16,943.20"
05-Aug,"38,135.20","17,424.40"
05-Sep,"37,377.90","17,499.40"
05-Oct,"38,592.00","17,307.40"
05-Nov,"37,767.20","17,712.30"
05-Dec,"39,369.80","19,100.10"
06-Jan,"36,753.30","18,331.70"
06-Feb,"33,437.20","16,894.30"
06-Mar,"39,472.10","19,157.60"
06-Apr,"38,639.20","18,242.70"
06-May,"41,729.10","19,695.60"
06-Jun,"40,572.40","19,457.80"
06-Jul,"40,101.70","18,636.30"
06-Aug,"40,814.10","19,220.70"
06-Sep,"41,137.20","19,847.70"
06-Oct,"37,675.80","19,179.80"
06-Nov,"38,334.40","19,806.40"
06-Dec,"37,340.20","19,203.80"
07-Jan,"37,904.10","19,842.40"
07-Feb,"34,897.50","19,105.40"
07-Mar,"39,442.30","20,009.20"
07-Apr,"39,398.90","20,738.80"
07-May,"32,182.10","16,468.40"
07-Jun,"39,823.40","20,568.40"
07-Jul,"40,870.10","21,708.50"
07-Aug,"40,296.00","21,265.70"
07-Sep,"38,661.90","19,316.70"
07-Oct,"42,227.20","20,839.00"
07-Nov,"40,890.40","20,087.30"
07-Dec,"41,732.10","20,231.00"
08-Jan,"39,619.60","20,042.40"
08-Feb,"36,787.70","19,177.10"
08-Mar,"42,063.80","20,446.10"
08-Apr,"41,655.90","20,579.90"
08-May,"43,406.10","20,701.10"
08-Jun,"41,648.20","20,367.60"
08-Jul,"43,064.40","21,252.50"
08-Aug,"41,122.60","19,719.30"
08-Sep,"41,947.50","20,849.60"
08-Oct,"43,132.10","20,954.30"
08-Nov,"40,782.50","18,838.00"
08-Dec,"43,112.70","20,591.30"
09-Jan,"38,158.00","18,652.10"
09-Feb,"36,910.10","18,504.20"
09-Mar,"42,952.20","20,474.90"
09-Apr,"42,441.90","20,308.50"
09-May,"43,112.40","19,750.80"
09-Jun,"42,766.50","20,418.70"
09-Jul,"43,548.60","20,948.80"
09-Aug,"42,746.80","20,317.30"
09-Sep,"44,232.00","21,369.20"
09-Oct,"42,695.50","20,236.10"
09-Nov,"42,367.80","19,926.40"
09-Dec,"44,716.80","21,624.20"
10-Jan,"41,197.60","19,664.50"
10-Feb,"38,432.90","19,787.30"
10-Mar,"45,269.90","22,007.10"
10-Apr,"44,224.50","21,263.10"
10-May,"46,204.00","21,464.40"
10-Jun,"44,638.20","20,983.00"
10-Jul,"45,619.70","21,486.40"
10-Aug,"45,194.70","21,576.30"
10-Sep,"44,191.10","21,379.70"
10-Oct,"46,116.40","21,620.80"
10-Nov,"45,532.00","22,290.60"
10-Dec,"46,768.00","23,145.20"
11-Jan,"44,173.10","22,288.20"
11-Feb,"39,394.90","20,612.60"
11-Mar,"46,958.80","23,549.90"
11-Apr,"45,245.00","22,382.00"
11-May,"47,959.00","23,108.60"
11-Jun,"45,938.90","22,478.60"
11-Jul,"46,140.70","22,450.30"
11-Aug,"47,620.90","24,051.50"
11-Sep,"46,670.90","23,349.90"
11-Oct,"47,942.90","22,988.80"
11-Nov,"47,133.80","22,960.60"
11-Dec,"49,633.80","24,441.80"
12-Jan,"46,730.60","23,434.90"
12-Feb,"45,718.50","23,382.60"
12-Mar,"50,481.60","24,446.70"
12-Apr,"49,710.10","24,010.70"
12-May,"53,151.40","25,053.80"
12-Jun,"50,833.10","23,838.00"
12-Jul,"51,756.40","24,692.90"
12-Aug,"50,608.40","24,104.40"
12-Sep,"52,180.70","24,902.80"
12-Oct,"51,518.90","24,275.30"
12-Nov,"51,855.80","24,479.80"
12-Dec,"52,207.40","24,720.80"
