날짜(월별),처리건수(천건),처리금액(십억원)
Apr-01,"3,756.00","20,949.40"
May-01,"10,760.00","55,329.10"
Jun-01,"14,752.00","69,487.30"
Jul-01,"16,513.00","71,185.60"
Aug-01,"17,135.00","76,656.10"
Sep-01,"19,551.00","86,529.30"
Oct-01,"22,076.00","95,879.50"
Nov-01,"24,416.00","108,047.70"
Dec-01,"26,260.00","128,423.80"
Jan-02,"26,525.00","128,355.20"
Feb-02,"25,623.00","116,367.10"
Mar-02,"29,904.00","143,313.00"
Apr-02,"30,508.00","150,399.80"
May-02,"33,730.00","164,775.10"
Jun-02,"31,142.00","156,037.20"
Jul-02,"37,187.00","180,527.00"
Aug-02,"35,395.00","172,011.80"
Sep-02,"36,427.00","185,993.80"
Oct-02,"38,870.00","199,276.90"
Nov-02,"38,636.00","191,554.90"
Dec-02,"42,064.00","234,694.60"
Jan-03,"42,184.00","219,680.70"
Feb-03,"37,094.00","196,941.60"
Mar-03,"41,906.00","235,678.00"
Apr-03,"42,656.00","223,008.10"
May-03,"42,083.00","210,021.00"
Jun-03,"41,901.00","233,497.00"
Jul-03,"45,108.00","246,795.30"
Aug-03,"40,371.00","212,483.30"
Sep-03,"43,994.00","233,644.30"
Oct-03,"47,524.00","258,747.40"
Nov-03,"43,728.00","236,850.80"
Dec-03,"50,858.00","297,520.10"
Jan-04,"44,911.00","244,509.40"
Feb-04,"45,288.00","227,631.40"
Mar-04,"53,102.00","280,029.70"
Apr-04,"51,538.70","267,180.10"
May-04,"50,707.40","247,619.40"
Jun-04,"52,826.20","274,050.20"
Jul-04,"54,847.40","260,873.10"
Aug-04,"53,771.70","256,704.00"
Sep-04,"53,818.20","246,863.10"
Oct-04,"55,492.30","258,510.50"
Nov-04,"59,211.70","277,240.70"
Dec-04,"64,210.40","338,040.60"
Jan-05,"59,156.60","300,638.10"
Feb-05,"54,173.60","262,728.20"
Mar-05,"66,153.90","318,348.30"
Apr-05,"64,590.20","292,813.90"
May-05,"68,712.70","308,831.60"
Jun-05,"68,032.50","330,069.70"
Jul-05,"69,813.40","323,010.30"
Aug-05,"69,299.20","330,296.20"
Sep-05,"70,943.50","334,821.30"
Oct-05,"70,459.30","329,652.40"
Nov-05,"72,366.70","364,064.00"
Dec-05,"76,495.50","430,254.40"
Jan-06,"73,912.00","403,489.30"
Feb-06,"68,022.80","360,957.20"
Mar-06,"78,529.80","406,655.00"
Apr-06,"74,405.50","378,720.60"
May-06,"78,219.40","407,012.90"
Jun-06,"80,191.10","433,598.30"
Jul-06,"79,147.00","390,077.40"
Aug-06,"80,052.10","401,900.40"
Sep-06,"83,329.80","423,205.10"
Oct-06,"80,867.30","404,143.80"
Nov-06,"85,897.70","442,480.70"
Dec-06,"87,544.30","486,552.00"
Jan-07,"91,055.60","482,335.70"
Feb-07,"84,046.40","411,022.40"
Mar-07,"91,722.10","463,039.00"
Apr-07,"94,627.70","495,132.10"
May-07,"98,049.10","493,281.10"
Jun-07,"93,165.20","506,183.50"
Jul-07,"101,112.70","540,297.00"
Aug-07,"98,124.60","519,540.50"
Sep-07,"91,008.50","459,175.60"
Oct-07,"110,647.80","562,770.10"
Nov-07,"106,041.00","562,140.00"
Dec-07,"107,306.50","590,759.90"
Jan-08,"114,270.10","592,479.60"
Feb-08,"104,347.80","508,134.30"
Mar-08,"113,759.60","572,802.30"
Apr-08,"117,880.90","592,911.20"
May-08,"115,700.80","562,179.30"
Jun-08,"115,506.50","598,917.50"
Jul-08,"125,230.50","628,970.20"
Aug-08,"109,667.50","545,716.10"
Sep-08,"120,022.20","645,256.60"
Oct-08,"123,236.30","642,214.80"
Nov-08,"113,143.40","575,468.20"
Dec-08,"128,981.40","707,930.90"
Jan-09,"113,067.40","615,997.40"
Feb-09,"114,125.80","571,372.20"
Mar-09,"128,969.40","675,131.90"
Apr-09,"128,450.50","723,129.10"
May-09,"122,061.00","667,951.00"
Jun-09,"132,299.10","728,688.60"
Jul-09,"134,772.10","706,855.80"
Aug-09,"125,837.80","653,507.10"
Sep-09,"139,351.50","753,596.30"
Oct-09,"130,168.50","671,332.20"
Nov-09,"134,128.80","679,531.00"
Dec-09,"147,422.50","840,836.60"
Jan-10,"130,714.90","732,691.10"
Feb-10,"130,137.80","689,028.70"
Mar-10,"151,633.00","820,869.70"
Apr-10,"147,136.50","785,242.10"
May-10,"144,029.80","799,793.90"
Jun-10,"147,031.70","799,745.50"
Jul-10,"149,744.90","817,644.60"
Aug-10,"146,459.50","755,913.60"
Sep-10,"146,160.10","768,749.60"
Oct-10,"149,984.80","769,993.00"
Nov-10,"159,082.90","861,625.80"
Dec-10,"169,794.70","950,438.90"
Jan-11,"159,286.60","923,942.80"
Feb-11,"140,969.80","781,326.50"
Mar-11,"171,820.30","921,898.60"
Apr-11,"163,143.00","892,844.70"
May-11,"168,772.10","911,077.40"
Jun-11,"168,657.60","950,708.50"
Jul-11,"166,594.10","904,503.60"
Aug-11,"171,629.90","974,881.70"
Sep-11,"172,052.70","922,734.80"
Oct-11,"168,591.40","909,356.10"
Nov-11,"175,072.70","976,909.60"
Dec-11,"182,308.70","1,070,892.10"
Jan-12,"171,918.10","1,002,134.10"
Feb-12,"171,352.20","982,947.10"
Mar-12,"180,573.30","989,035.40"
Apr-12,"178,273.80","981,166.70"
May-12,"188,075.70","975,934.70"
Jun-12,"181,430.10","976,550.00"
Jul-12,"198,650.10","1,012,993.10"
Aug-12,"191,227.30","974,404.70"
Sep-12,"193,306.70","958,703.90"
Oct-12,"195,667.30","997,384.20"
Nov-12,"199,607.10","968,627.60"
Dec-12,"199,547.80","1,039,505.50"
Jan-13,"203,594.70","1,043,965.70"
Feb-13,"191,704.80","976,703.40"
Mar-13,"202,915.50","981,170.40"
Apr-13,"213,581.30","1,087,572.80"
May-13,"217,668.80","1,012,770.90"
Jun-13,"201,454.00","990,536.60"
Jul-13,"225,941.30","1,126,210.20"
Aug-13,"209,295.50","984,269.50"
Sep-13,"209,086.20","1,025,298.50"
Oct-13,"222,553.10","1,094,494.10"
Nov-13,"215,520.80","1,027,485.60"
Dec-13,"231,984.10","1,192,830.40"
Jan-14,"218,209.80","1,099,012.10"
Feb-14,"207,617.90","1,043,401.20"
Mar-14,"226,894.90","1,110,099.10"
