날짜(월별),처리건수(천건),처리금액(십억원)
Jun-96,248.6,75.4
Jul-96,247,79
Aug-96,289,88
Sep-96,227,64
Oct-96,894,83
Nov-96,423,120
Dec-96,718,175
Jan-97,709,175.3
Feb-97,795,205.1
Mar-97,890,215.2
Apr-97,897,228.7
May-97,"3,782.00",332.6
Jun-97,"4,425.00",345.6
Jul-97,"4,683.00",372.3
Aug-97,"4,990.00",475.3
Sep-97,"5,525.00",553.9
Oct-97,"5,707.00",584.8
Nov-97,"5,845.00",640.2
Dec-97,"6,675.00",760.2
Jan-98,"6,335.00",596.2
Feb-98,"6,477.00",674.3
Mar-98,"6,961.00",703.8
Apr-98,"7,012.00",703.9
May-98,"8,139.00",713.1
Jun-98,"8,782.00",731
Jul-98,"8,395.00",694.4
Aug-98,"8,736.00",747.3
Sep-98,"9,706.00",758.3
Oct-98,"9,552.00",663.6
Nov-98,"11,825.00",755.6
Dec-98,"11,632.00",784.9
Jan-99,"10,403.00",741.6
Feb-99,"11,386.00",841.7
Mar-99,"12,880.00",948.1
Apr-99,"14,368.00",963.8
May-99,"13,466.00","1,077.90"
Jun-99,"13,796.00","1,143.40"
Jul-99,"14,548.00","1,228.30"
Aug-99,"15,112.00","1,309.00"
Sep-99,"15,485.00","1,353.60"
Oct-99,"15,260.00","1,457.60"
Nov-99,"19,835.00","1,770.10"
Dec-99,"16,189.00","1,711.30"
Jan-00,"20,779.00","2,013.10"
Feb-00,"18,751.00","1,947.50"
Mar-00,"21,091.00","2,173.60"
Apr-00,"18,577.00","2,137.10"
May-00,"26,549.00","2,684.20"
Jun-00,"25,694.00","2,713.00"
Jul-00,"24,104.00","2,769.10"
Aug-00,"26,068.00","2,851.40"
Sep-00,"26,259.00","2,965.00"
Oct-00,"26,992.00","3,212.40"
Nov-00,"27,298.00","3,439.10"
Dec-00,"27,571.00","3,473.50"
Jan-01,"32,188.00","4,076.40"
Feb-01,"31,198.00","3,959.20"
Mar-01,"34,033.00","4,389.10"
Apr-01,"33,746.00","4,459.20"
May-01,"35,213.00","4,832.90"
Jun-01,"36,249.00","5,115.70"
Jul-01,"37,139.00","5,317.60"
Aug-01,"38,739.10","5,626.70"
Sep-01,"36,956.00","5,710.10"
Oct-01,"40,795.00","6,295.00"
Nov-01,"39,491.00","6,247.80"
Dec-01,"43,639.00","6,913.60"
Jan-02,"44,323.00","7,356.90"
Feb-02,"43,495.00","7,362.30"
Mar-02,"44,868.00","7,944.20"
Apr-02,"50,956.00","8,744.00"
May-02,"50,897.00","9,313.00"
Jun-02,"46,960.00","8,528.60"
Jul-02,"53,980.00","9,322.70"
Aug-02,"48,691.00","8,956.40"
Sep-02,"54,678.00","9,464.80"
Oct-02,"51,602.00","9,534.60"
Nov-02,"48,262.00","9,117.60"
Dec-02,"55,043.00","9,463.40"
Jan-03,"48,064.00","8,871.50"
Feb-03,"50,137.00","8,578.20"
Mar-03,"49,770.00","8,032.10"
Apr-03,"49,452.00","7,575.20"
May-03,"43,669.00","7,173.20"
Jun-03,"49,749.00","7,202.50"
Jul-03,"46,213.00","7,116.00"
Aug-03,"43,910.00","6,602.60"
Sep-03,"51,573.00","6,886.50"
Oct-03,"47,544.00","6,470.90"
Nov-03,"44,260.00","5,581.30"
Dec-03,"51,908.00","6,296.80"
Jan-04,"41,996.00","5,486.00"
Feb-04,"47,146.00","5,587.00"
Mar-04,"56,973.00","6,488.40"
Apr-04,"50,956.70","5,889.40"
May-04,"54,049.30","6,163.10"
Jun-04,"53,227.50","6,118.70"
Jul-04,"49,876.90","5,748.20"
Aug-04,"56,085.20","6,328.80"
Sep-04,"51,915.00","5,719.60"
Oct-04,"53,026.40","6,120.30"
Nov-04,"58,620.70","6,573.20"
Dec-04,"56,893.50","6,488.70"
Jan-05,"53,393.10","6,170.40"
Feb-05,"52,549.20","6,061.30"
Mar-05,"60,198.30","6,872.40"
Apr-05,"56,104.30","6,214.50"
May-05,"62,540.60","6,923.60"
Jun-05,"58,520.40","6,541.20"
Jul-05,"55,710.50","6,276.70"
Aug-05,"63,691.40","7,190.60"
Sep-05,"61,983.00","6,890.00"
Oct-05,"60,822.70","6,720.70"
Nov-05,"63,651.20","7,195.10"
Dec-05,"60,764.70","6,943.70"
Jan-06,"65,046.70","7,417.20"
Feb-06,"61,228.40","6,964.30"
Mar-06,"69,883.50","7,801.90"
Apr-06,"61,402.90","6,950.60"
May-06,"67,549.10","7,747.60"
Jun-06,"70,398.40","7,804.30"
Jul-06,"64,646.20","7,158.40"
Aug-06,"66,757.10","7,719.40"
Sep-06,"63,342.20","7,135.00"
Oct-06,"70,051.50","7,859.50"
Nov-06,"67,414.50","7,928.50"
Dec-06,"62,777.60","7,360.10"
Jan-07,"70,741.40","8,478.00"
Feb-07,"65,289.50","7,686.70"
Mar-07,"69,177.70","8,038.40"
Apr-07,"73,667.20","8,457.10"
May-07,"74,163.00","8,844.60"
Jun-07,"68,145.10","7,961.90"
Jul-07,"75,831.30","8,801.20"
Aug-07,"72,648.60","8,925.00"
Sep-07,"67,386.10","7,803.60"
Oct-07,"75,526.00","9,380.60"
Nov-07,"69,530.50","8,836.10"
Dec-07,"68,100.90","8,708.80"
Jan-08,"68,647.80","9,136.00"
Feb-08,"66,265.40","8,776.20"
Mar-08,"72,738.70","9,336.60"
Apr-08,"67,803.90","9,246.60"
May-08,"64,730.10","9,202.30"
Jun-08,"67,936.30","9,583.60"
Jul-08,"65,788.60","9,505.50"
Aug-08,"59,504.60","8,682.90"
Sep-08,"68,780.60","9,445.80"
Oct-08,"63,652.20","9,023.90"
Nov-08,"58,090.50","8,426.30"
Dec-08,"67,547.10","9,586.10"
Jan-09,"55,547.00","7,995.60"
Feb-09,"58,757.50","8,146.10"
Mar-09,"70,256.20","9,605.60"
Apr-09,"63,286.20","8,510.00"
May-09,"59,250.80","8,154.20"
Jun-09,"66,929.60","8,835.70"
Jul-09,"63,032.80","8,492.10"
Aug-09,"61,975.40","8,396.80"
Sep-09,"63,823.30","8,432.60"
Oct-09,"59,491.30","7,884.30"
Nov-09,"67,300.10","8,962.30"
Dec-09,"64,115.60","8,693.10"
Jan-10,"58,076.10","7,891.10"
Feb-10,"56,123.20","7,841.30"
Mar-10,"68,915.80","9,879.20"
Apr-10,"63,420.90","8,837.80"
May-10,"63,409.60","9,089.60"
Jun-10,"61,885.30","9,004.50"
Jul-10,"57,781.40","8,511.10"
Aug-10,"65,892.90","9,672.50"
Sep-10,"61,994.80","9,178.90"
Oct-10,"58,580.40","8,602.00"
Nov-10,"68,174.30","9,992.90"
Dec-10,"63,539.40","9,419.00"
Jan-11,"60,810.90","8,978.70"
Feb-11,"57,800.00","8,652.60"
Mar-11,"66,709.80","9,800.40"
Apr-11,"59,830.30","8,846.10"
May-11,"69,704.50","10,382.70"
Jun-11,"64,555.20","9,752.20"
Jul-11,"59,859.80","8,998.00"
Aug-11,"69,982.80","10,797.80"
Sep-11,"66,109.60","10,091.00"
Oct-11,"65,719.30","9,924.50"
Nov-11,"67,050.00","10,426.80"
Dec-11,"62,419.40","9,889.00"
Jan-12,"68,640.60","10,614.40"
Feb-12,"63,646.00","9,842.10"
Mar-12,"64,812.60","9,950.30"
Apr-12,"68,822.30","10,428.30"
May-12,"66,589.20","10,555.40"
Jun-12,"60,353.30","9,458.20"
Jul-12,"63,735.90","8,280.20"
Aug-12,"59,720.20","7,940.90"
Sep-12,"55,633.90","7,240.50"
Oct-12,"64,946.90","8,596.60"
Nov-12,"60,872.40","8,003.90"
Dec-12,"59,814.00","7,815.70"
Jan-13,"59,396.80","7,812.60"
Feb-13,"57,828.40","7,580.20"
Mar-13,"57,218.20","7,470.90"
Apr-13,"65,764.00","8,391.00"
May-13,"62,459.80","8,115.40"
Jun-13,"56,364.50","7,122.90"
Jul-13,"66,236.00","8,291.30"
Aug-13,"57,785.40","7,456.70"
Sep-13,"65,874.90","8,246.30"
Oct-13,"62,158.00","7,680.30"
Nov-13,"57,870.60","7,341.10"
Dec-13,"65,684.50","8,196.80"
Jan-14,"56,542.00","7,090.50"
Feb-14,"64,414.60","7,970.30"
Mar-14,"63,871.20","7,920.50"
Apr-14,"62,815.20","7,693.10"
May-14,"59,206.30","7,546.70"
Jun-14,"66,024.20","8,186.20"
Jul-14,"62,999.70","7,712.30"
Aug-14,"58,659.70","7,487.10"
Sep-14,"68,169.50","8,379.70"
Oct-14,"62,946.00","7,774.40"
Nov-14,"58,901.50","7,280.40"
