날짜(월별),처리건수(천건),처리금액(십억원)
Dec-19,"13,303.00","2,267.00"
Jan-20,"39,568.70","6,657.90"
Feb-20,"42,287.80","7,258.60"
Mar-20,"50,699.30","8,190.90"
Apr-20,"54,339.00","8,138.50"
May-20,"60,532.80","8,552.70"
Jun-20,"58,378.80","8,839.80"
Jul-20,"68,355.60","10,037.60"
Aug-20,"70,000.40","10,769.50"
Sep-20,"66,072.90","10,638.40"
Oct-20,"67,297.20","10,421.30"
Nov-20,"67,249.40","11,131.80"
Dec-20,"74,646.40","12,876.70"
Jan-21,"82,323.80","16,001.10"
Feb-21,"80,894.20","16,604.70"
Mar-21,"100,310.30","19,948.10"
Apr-21,"110,066.60","23,443.50"
May-21,"119,845.40","24,113.50"
Jun-21,"121,932.60","25,169.20"
Jul-21,"127,863.20","26,838.80"
Aug-21,"131,528.80","29,996.80"
Sep-21,"130,402.80","30,377.00"
Oct-21,"135,428.40","30,882.30"
Nov-21,"140,439.10","33,093.30"
Dec-21,"145,287.10","34,760.20"
Jan-22,"139,721.70","38,684.90"
Feb-22,"132,827.10","35,121.70"
Mar-22,"150,152.80","38,507.90"
Apr-22,"154,041.50","39,059.10"
May-22,"169,768.80","41,725.20"
Jun-22,"165,658.90","41,563.00"
