날짜(월별),처리건수(천건),처리금액(십억원)
Jun-97,18,41
Jul-97,62,176
Aug-97,86,221
Sep-97,104,244
Oct-97,115,288
Nov-97,119,294
Dec-97,137,372
Jan-98,119,300.4
Feb-98,131,324.5
Mar-98,149,340.1
Apr-98,149,347
May-98,152,356.7
Jun-98,148,340.1
Jul-98,96,269.1
Aug-98,93,235.2
Sep-98,101,248.6
Oct-98,114,268
Nov-98,101,257.5
Dec-98,111,337.9
Jan-99,102,257.7
Feb-99,93,227.8
Mar-99,101,286.4
Apr-99,98,271.3
May-99,96,264.9
Jun-99,96,288.7
Jul-99,97,306.2
Aug-99,99,303.1
Sep-99,100,306.6
Oct-99,104,259
Nov-99,107,283
Dec-99,105,313.3
Jan-00,102,293.7
Feb-00,101,297.6
Mar-00,102,312.8
Apr-00,98,324.4
May-00,110,340
Jun-00,99,369
Jul-00,95,339.1
Aug-00,104,358.6
Sep-00,103,377
Oct-00,101,403.4
Nov-00,102,312.9
Dec-00,100,286.7
Jan-01,104,304
Feb-01,92,290.1
Mar-01,100,312.3
Apr-01,106,308.9
May-01,115,314.1
Jun-01,138,333.6
Jul-01,104,412.5
Aug-01,113,356.2
Sep-01,104,391.3
Oct-01,119,370.7
Nov-01,112,414.6
Dec-01,110,473.5
Jan-02,110,409.5
Feb-02,103,377.5
Mar-02,100,399.7
Apr-02,102,394.8
May-02,107,415.8
Jun-02,87,362.7
Jul-02,79,398.7
Aug-02,77,375
Sep-02,53,322
Oct-02,46,333.7
Nov-02,43,312.6
Dec-02,45,328.8
Jan-03,44,323
Feb-03,42,309.7
Mar-03,41,305.5
Apr-03,43,323.9
May-03,41,259.9
Jun-03,40,283.2
Jul-03,41,266.2
Aug-03,36,266.7
Sep-03,39,282.4
Oct-03,40,276.1
Nov-03,37,241.3
Dec-03,41,251.6
Jan-04,35,209
Feb-04,35,194
Mar-04,39,209.3
Apr-04,36,216.4
May-04,35.2,190.3
Jun-04,36.1,208.1
Jul-04,35.2,212.9
Aug-04,34.3,213.3
Sep-04,30.6,143.8
Oct-04,31.8,223.5
Nov-04,32.5,182.6
Dec-04,33.8,200.7
Jan-05,29.9,153.3
Feb-05,28.2,137.9
Mar-05,30.8,166.5
Apr-05,28.1,163
May-05,29.7,151.3
Jun-05,27.4,165.2
Jul-05,25.2,131.2
Aug-05,26.5,154.7
Sep-05,26,151.3
Oct-05,23.9,146.5
Nov-05,25,148.1
Dec-05,24.8,185
Jan-06,24.1,147.8
Feb-06,20.7,122.1
Mar-06,21.4,162.9
Apr-06,19.3,176
May-06,20.3,136.1
Jun-06,19.9,152.1
Jul-06,18.3,134.3
Aug-06,18.7,130.4
Sep-06,18.2,119.6
Oct-06,18.5,127.2
Nov-06,18.6,143.1
Dec-06,18.5,187.1
Jan-07,19.1,157.2
Feb-07,17.3,136.9
Mar-07,17,143.5
Apr-07,17.3,130.2
May-07,17.4,165
Jun-07,15.8,112.7
Jul-07,16.9,132.1
Aug-07,16.3,102.8
