날짜(월별),처리건수(천건),처리금액(십억원)
Jan-90,63,48.1
Feb-90,93,77.7
Mar-90,112,98.6
Apr-90,190,185.4
May-90,315,279
Jun-90,409,352.1
Jul-90,526,455.8
Aug-90,726,619
Sep-90,774,693.6
Oct-90,786,676.3
Nov-90,990,886.5
Dec-90,"1058.00",949.7
Jan-91,"1,136.00","1,039.50"
Feb-91,"1,031.00",989.9
Mar-91,"1,373.00","1,307.00"
Apr-91,"1,545.00","1,596.20"
May-91,"1,763.00","1,873.70"
Jun-91,"1,676.00","1,689.70"
Jul-91,"2,016.00","2,054.30"
Aug-91,"1,955.00","1,977.30"
Sep-91,"2,070.00","2,082.90"
Oct-91,"2,312.00","2,344.60"
Nov-91,"2,345.00","2,368.20"
Dec-91,"2,460.00","2,524.20"
Jan-92,"2,446.00","2,447.40"
Feb-92,"2,157.00","2,133.90"
Mar-92,"2,797.00","2,884.20"
Apr-92,"2,838.00","2,920.00"
May-92,"3,008.00","2,946.30"
Jun-92,"2,991.00","2,987.70"
Jul-92,"3,276.00","3,260.60"
Aug-92,"3,198.00","3,221.60"
Sep-92,"3,312.00","3,376.90"
Oct-92,"3,648.00","3,815.40"
Nov-92,"3,594.00","3,747.00"
Dec-92,"3,946.00","4,161.10"
Jan-93,"3,351.00","3,482.80"
Feb-93,"3,471.00","3,999.80"
Mar-93,"4,379.00","5,121.60"
Apr-93,"4,441.00","5,283.60"
May-93,"4,357.00","5,073.20"
Jun-93,"4,576.00","5,289.90"
Jul-93,"4,951.00","6,011.00"
Aug-93,"4,468.00","5,814.60"
Sep-93,"4,405.00","5,935.90"
Oct-93,"4,840.00","6,436.60"
Nov-93,"5,436.00","7,981.80"
Dec-93,"6,236.00","9,537.70"
Jan-94,"5,630.00","8,629.30"
Feb-94,"4,806.00","8,084.00"
Mar-94,"6,701.00","10,986.60"
Apr-94,"6,513.00","11,429.60"
May-94,"7,113.00","12,480.70"
Jun-94,"7,209.00","13,476.70"
Jul-94,"7,610.00","14,599.10"
Aug-94,"7,709.00","15,358.00"
Sep-94,"7,819.00","16,298.90"
Oct-94,"8,423.00","18,206.20"
Nov-94,"9,107.00","20,156.10"
Dec-94,"10,284.00","23,686.30"
Jan-95,"8,575.00","19,797.90"
Feb-95,"8,611.00","20,108.10"
Mar-95,"10,673.00","24,284.50"
Apr-95,"9,979.00","23,305.70"
May-95,"11,177.00","25,715.50"
Jun-95,"10,931.00","26,484.00"
Jul-95,"11,825.00","29,577.20"
Aug-95,"12,111.00","31,256.10"
Sep-95,"12,516.00","33,055.00"
Oct-95,"13,410.00","36,225.10"
Nov-95,"13,674.00","37,273.90"
Dec-95,"14,234.00","41,047.60"
Jan-96,"13,862.00","38,199.40"
Feb-96,"13,780.00","39,104.10"
Mar-96,"14,771.00","41,322.30"
Apr-96,"15,799.00","46,232.70"
May-96,"16,680.00","48,721.00"
Jun-96,"15,851.00","46,993.80"
Jul-96,"17,861.00","53,510.10"
Aug-96,"16,610.00","51,873.50"
Sep-96,"15,840.00","50,715.80"
Oct-96,"18,651.00","58,399.30"
Nov-96,"18,087.00","58,255.60"
Dec-96,"19,496.00","67,197.60"
Jan-97,"17,365.00","62,764.90"
Feb-97,"16,299.00","59,908.20"
Mar-97,"18,960.00","69,759.40"
Apr-97,"19,836.00","74,625.40"
May-97,"19,892.00","74,860.80"
Jun-97,"19,675.00","77,382.80"
Jul-97,"21,437.00","88,036.50"
Aug-97,"19,393.00","82,749.30"
Sep-97,"20,976.00","89,287.70"
Oct-97,"22,797.00","94,617.20"
Nov-97,"21,478.00","94,628.80"
Dec-97,"23,882.00","110,779.80"
Jan-98,"18,864.00","87,691.70"
Feb-98,"20,042.00","86,748.30"
Mar-98,"22,517.00","94,498.90"
Apr-98,"22,775.00","92,563.90"
May-98,"22,232.00","87,606.30"
Jun-98,"22,346.00","92,544.60"
Jul-98,"22,693.00","96,596.80"
Aug-98,"21,266.00","91,737.00"
Sep-98,"23,914.00","101,754.80"
Oct-98,"23,377.00","97,450.70"
Nov-98,"23,465.00","98,662.40"
Dec-98,"26,772.00","126,438.90"
Jan-99,"22,521.00","106,436.10"
Feb-99,"21,781.00","97,720.80"
Mar-99,"26,845.00","121,734.30"
Apr-99,"26,521.00","126,293.50"
May-99,"26,008.00","122,145.80"
Jun-99,"26,883.00","139,253.40"
Jul-99,"27,851.00","146,413.20"
Aug-99,"26,583.00","136,258.00"
Sep-99,"27,028.00","135,344.20"
Oct-99,"27,752.00","127,432.80"
Nov-99,"29,404.00","147,897.60"
Dec-99,"31,426.00","182,271.40"
Jan-00,"27,973.00","143,980.30"
Feb-00,"28,491.00","156,072.80"
Mar-00,"32,086.00","169,770.60"
Apr-00,"30,310.00","154,053.80"
May-00,"33,321.00","167,567.80"
Jun-00,"33,016.00","177,588.00"
Jul-00,"33,254.00","168,050.20"
Aug-00,"32,832.00","156,028.50"
Sep-00,"32,293.00","145,211.70"
Oct-00,"35,296.00","149,716.80"
Nov-00,"35,805.00","157,460.00"
Dec-00,"37,435.00","176,614.10"
Jan-01,"33,997.00","148,355.60"
Feb-01,"34,427.00","147,576.00"
Mar-01,"39,080.00","166,851.20"
Apr-01,"36,080.00","142,612.30"
May-01,"33,616.00","122,584.50"
Jun-01,"29,537.00","114,568.40"
Jul-01,"30,851.00","111,422.20"
Aug-01,"29,533.00","105,979.80"
Sep-01,"30,458.00","112,284.30"
Oct-01,"26,521.00","92,134.90"
Nov-01,"27,456.00","102,988.50"
Dec-01,"28,905.00","119,886.70"
Jan-02,"27,737.00","102,414.70"
Feb-02,"24,804.00","88,810.20"
Mar-02,"28,772.00","101,583.00"
Apr-02,"29,100.00","103,356.40"
May-02,"29,038.00","102,603.10"
Jun-02,"25,204.00","89,322.70"
Jul-02,"27,173.00","85,847.60"
Aug-02,"24,608.00","77,550.60"
Sep-02,"24,637.00","86,571.50"
Oct-02,"26,125.00","84,936.90"
Nov-02,"22,795.00","79,909.20"
Dec-02,"25,100.00","94,819.30"
Jan-03,"24,270.00","80,236.90"
Feb-03,"21,551.00","68,716.80"
Mar-03,"23,022.00","77,905.70"
Apr-03,"24,014.00","78,621.60"
May-03,"21,586.00","71,512.80"
Jun-03,"21,167.00","78,444.10"
Jul-03,"22,464.00","75,968.90"
Aug-03,"18,393.00","63,249.00"
Sep-03,"19,994.00","72,555.80"
Oct-03,"21,766.00","73,189.60"
Nov-03,"18,660.00","65,816.10"
Dec-03,"22,795.00","89,701.90"
Jan-04,"18,906.00","66,304.60"
Feb-04,"18,078.00","60,314.30"
Mar-04,"20,469.00","73,108.90"
Apr-04,"20,359.70","69,310.50"
May-04,"18,823.10","64,841.40"
Jun-04,"19,772.60","68,102.60"
Jul-04,"19,076.90","65,098.40"
Aug-04,"16,543.20","62,257.70"
Sep-04,"15,600.50","65,583.90"
Oct-04,"19,620.70","59,770.40"
Nov-04,"17,666.50","66,994.20"
Dec-04,"18,515.00","80,238.60"
Jan-05,"15,477.80","61,322.20"
Feb-05,"14,153.80","57,076.20"
Mar-05,"15,799.30","65,725.30"
Apr-05,"15,049.30","63,454.40"
May-05,"15,737.70","68,378.40"
Jun-05,"14,801.70","68,532.80"
Jul-05,"14,726.70","63,899.20"
Aug-05,"14,374.50","64,117.30"
Sep-05,"14,663.70","65,788.80"
Oct-05,"13,506.10","56,972.20"
Nov-05,"14,752.20","65,532.60"
Dec-05,"16,011.30","83,772.00"
Jan-06,"14,438.50","68,322.60"
Feb-06,"13,327.80","58,692.40"
Mar-06,"14,999.10","66,634.70"
Apr-06,"14,394.30","62,792.00"
May-06,"15,229.00","67,239.40"
Jun-06,"16,194.90","70,184.80"
Jul-06,"15,595.60","61,637.00"
Aug-06,"15,642.80","60,935.90"
Sep-06,"15,936.70","67,893.80"
Oct-06,"14,887.30","63,875.00"
Nov-06,"15,365.30","70,899.10"
Dec-06,"15,773.20","86,973.40"
Jan-07,"14,642.60","70,597.10"
Feb-07,"13,402.40","62,537.50"
Mar-07,"13,832.10","63,133.10"
Apr-07,"14,542.10","68,150.70"
May-07,"14,146.10","65,925.90"
Jun-07,"13,224.10","65,746.90"
Jul-07,"14,451.90","69,166.70"
Aug-07,"13,370.20","65,233.80"
Sep-07,"11,595.30","59,902.10"
Oct-07,"14,005.60","71,895.10"
Nov-07,"13,243.30","70,539.60"
Dec-07,"13,460.00","79,376.50"
Jan-08,"12,936.70","71,533.80"
Feb-08,"11,748.80","62,714.30"
Mar-08,"10,621.20","66,735.30"
Apr-08,"11,338.00","71,379.50"
May-08,"10,590.10","67,486.20"
Jun-08,"11,013.50","71,572.50"
Jul-08,"11,478.90","72,657.40"
Aug-08,"9,854.90","60,336.20"
Sep-08,"11,147.00","69,273.50"
Oct-08,"11,293.70","66,524.10"
Nov-08,"10,041.50","56,186.20"
Dec-08,"12,480.10","76,157.30"
Jan-09,"9,854.30","60,119.30"
Feb-09,"10,271.40","60,205.00"
Mar-09,"11,048.10","68,372.60"
Apr-09,"11,068.10","70,279.20"
May-09,"9,522.50","61,393.10"
Jun-09,"10,618.50","70,750.60"
Jul-09,"10,383.50","67,433.80"
Aug-09,"9,929.20","62,644.20"
Sep-09,"11,319.60","74,227.70"
Oct-09,"9,547.50","62,944.30"
Nov-09,"9,455.70","63,741.70"
Dec-09,"10,641.10","81,797.80"
Jan-10,"8,046.40","62,837.20"
